iso3,area_name,period,source_citation,note
ALB,Albania,2000,"Albania Vital Registration  - Deaths 2000 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
ALB,Albania,2001,"Albania Vital Registration  - Deaths 2001 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
ALB,Albania,2002,"Albania Vital Registration  - Deaths 2002 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
ALB,Albania,2003,"Albania Vital Registration  - Deaths 2003 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
ALB,Albania,2004,"Albania Vital Registration  - Deaths 2004 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1980,"Australia Vital Registration  - Deaths 1980 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1981,"Australia Vital Registration  - Deaths 1981 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1982,"Australia Vital Registration  - Deaths 1982 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1983,"Australia Vital Registration  - Deaths 1983 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1984,"Australia Vital Registration  - Deaths 1984 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1985,"Australia Vital Registration  - Deaths 1985 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1986,"Australia Vital Registration  - Deaths 1986 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1987,"Australia Vital Registration  - Deaths 1987 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1988,"Australia Vital Registration  - Deaths 1988 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1989,"Australia Vital Registration  - Deaths 1989 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1990,"Australia Vital Registration  - Deaths 1990 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1991,"Australia Vital Registration  - Deaths 1991 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1992,"Australia Vital Registration  - Deaths 1992 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1993,"Australia Vital Registration  - Deaths 1993 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1994,"Australia Vital Registration  - Deaths 1994 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1995,"Australia Vital Registration  - Deaths 1995 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1996,"Australia Vital Registration  - Deaths 1996 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUS,Australia,1997,"Australia Vital Registration  - Deaths 1997 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1980,"Austria Vital Registration  - Deaths 1980 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1981,"Austria Vital Registration  - Deaths 1981 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1982,"Austria Vital Registration  - Deaths 1982 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1984,"Austria Vital Registration  - Deaths 1984 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1985,"Austria Vital Registration  - Deaths 1985 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1986,"Austria Vital Registration  - Deaths 1986 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1987,"Austria Vital Registration  - Deaths 1987 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1988,"Austria Vital Registration  - Deaths 1988 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1989,"Austria Vital Registration  - Deaths 1989 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1990,"Austria Vital Registration  - Deaths 1990 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1991,"Austria Vital Registration  - Deaths 1991 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1992,"Austria Vital Registration  - Deaths 1992 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1993,"Austria Vital Registration  - Deaths 1993 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1994,"Austria Vital Registration  - Deaths 1994 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1995,"Austria Vital Registration  - Deaths 1995 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1996,"Austria Vital Registration  - Deaths 1996 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1997,"Austria Vital Registration - Deaths 1997 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1998,"Austria Vital Registration - Deaths 1998 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,1999,"Austria Vital Registration - Deaths 1999 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,2000,"Austria Vital Registration - Deaths 2000 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
AUT,Austria,2001,"Austria Vital Registration - Deaths 2001 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1980,"Belgium Vital Registration  - Deaths 1980 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1981,"Belgium Vital Registration  - Deaths 1981 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1982,"Belgium Vital Registration  - Deaths 1982 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1983,"Belgium Vital Registration  - Deaths 1983 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1984,"Belgium Vital Registration  - Deaths 1984 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1986,"Belgium Vital Registration  - Deaths 1986 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1987,"Belgium Vital Registration  - Deaths 1987 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1992,"Belgium Vital Registration  - Deaths 1992 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1993,"Belgium Vital Registration  - Deaths 1993 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1994,"Belgium Vital Registration  - Deaths 1994 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1995,"Belgium Vital Registration  - Deaths 1995 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1996,"Belgium Vital Registration  - Deaths 1996 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BEL,Belgium,1997,"Belgium Vital Registration  - Deaths 1997 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1990,"Bulgaria Vital Registration  - Deaths 1990 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1991,"Bulgaria Vital Registration  - Deaths 1991 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1992,"Bulgaria Vital Registration  - Deaths 1992 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1993,"Bulgaria Vital Registration  - Deaths 1993 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1994,"Bulgaria Vital Registration  - Deaths 1994 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1995,"Bulgaria Vital Registration  - Deaths 1995 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1996,"Bulgaria Vital Registration  - Deaths 1996 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1997,"Bulgaria Vital Registration  - Deaths 1997 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1998,"Bulgaria Vital Registration  - Deaths 1998 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,1999,"Bulgaria Vital Registration  - Deaths 1999 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,2000,"Bulgaria Vital Registration  - Deaths 2000 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,2001,"Bulgaria Vital Registration  - Deaths 2001 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,2002,"Bulgaria Vital Registration  - Deaths 2002 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,2003,"Bulgaria Vital Registration  - Deaths 2003 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
BGR,Bulgaria,2004,"Bulgaria Vital Registration  - Deaths 2004 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
CAN,Canada,1986,"Canada Vital Registration  - Deaths 1986 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
CAN,Canada,1987,"Canada Vital Registration  - Deaths 1987 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
CAN,Canada,1988,"Canada Vital Registration  - Deaths 1988 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
CAN,Canada,1989,"Canada Vital Registration  - Deaths 1989 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
CAN,Canada,1990,"Canada Vital Registration  - Deaths 1990 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
CAN,Canada,1991,"Canada Vital Registration  - Deaths 1991 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
CAN,Canada,1992,"Canada Vital Registration  - Deaths 1992 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
CAN,Canada,1993,"Canada Vital Registration  - Deaths 1993 ICD9, as it appears in World Health Organization (WHO). WHO Mortality Database Version December 2019. Geneva, Switzerland: World Health Organization (WHO), 2019.",This country-year was extracted from the WHO Mortality Database. See the most recent version for more information: https://www.who.int/data/data-collection-tools/who-mortality-database
